LIFEXPECT,INFDEATH,SCHOOLING,ADULTMORT,GDP,BMI,UNDER5DEATH
65.0,62,10.1,263.0,584.2592099999999,19.1,83
77.8,0,14.2,74.0,3954.22783,58.0,0
75.6,21,14.4,19.0,4132.76292,59.5,24
52.4,66,11.4,335.0,3695.7937479999996,23.3,98
76.4,0,13.9,13.0,13566.9541,47.7,0
76.3,8,17.3,116.0,13467.1236,62.8,9
74.8,1,12.7,118.0,369.65477599999997,54.9,1
82.8,1,20.4,59.0,56554.3876,66.6,1
81.5,0,15.9,65.0,43665.947,57.6,0
72.7,5,12.7,118.0,55.31381999999999,52.5,6
76.9,0,14.5,69.0,22688.878240000002,63.6,0
71.8,92,10.2,129.0,121.15812,18.3,113
75.5,0,15.3,98.0,15557.8381,54.5,0
72.3,0,15.6,196.0,5949.1167700000005,62.3,0
81.1,0,16.6,74.0,4356.875,63.7,1
71.0,0,12.8,175.0,4849.9974950000005,5.9,0
60.0,25,10.7,249.0,783.94791,25.7,39
69.8,0,12.5,211.0,2613.645177,24.5,0
77.4,0,14.2,88.0,4574.9787,55.8,0
65.7,2,12.6,256.0,6532.651,37.9,2
75.0,42,15.2,142.0,8757.2622,56.1,47
77.7,0,14.9,78.0,3967.8951,41.2,0
74.5,0,15.0,137.0,6993.477359999999,65.7,1
59.9,38,7.7,26.0,615.592225,19.4,61
59.6,21,10.6,288.0,33.681222999999996,18.7,31
73.3,0,13.5,114.0,2954.119467,31.3,0
68.7,10,10.9,174.0,1163.18977,19.6,12
57.3,45,10.4,357.0,1244.429421,29.0,68
82.2,2,16.3,64.0,43315.744000000006,67.0,2
52.5,15,7.1,397.0,348.381417,22.7,21
53.1,46,7.3,356.0,777.248751,19.1,77
85.0,2,16.3,82.0,13653.2264,63.8,2
76.1,157,13.5,85.0,869.211938,32.9,183
74.8,10,13.6,143.0,644.5255559999999,57.9,12
63.5,1,11.1,227.0,727.6463868,24.2,2
79.6,1,14.2,95.0,1146.36273,6.5,1
78.0,0,15.3,95.0,11579.6674,63.7,0
79.1,1,13.9,92.0,762.261218,61.4,1
85.0,0,14.3,52.0,2375.1127,6.3,0
86.0,0,19.2,71.0,5314.64416,58.8,0
63.5,1,6.3,241.0,1862.167274,35.0,1
73.9,6,13.2,152.0,6468.471648,58.9,7
76.2,6,14.0,118.0,625.62224,54.2,7
73.5,2,13.2,178.0,4127.11775,56.1,2
58.2,3,9.2,32.0,1347.3125699999998,24.5,4
77.6,0,16.5,119.0,1774.9291,59.9,0
64.8,136,8.4,225.0,645.4637627000001,17.6,194
69.9,0,15.3,188.0,4921.89629,62.7,0
81.1,0,17.0,76.0,4245.39744,62.1,0
82.4,2,16.3,78.0,36526.7711,62.5,3
66.0,2,12.6,229.0,7388.984144,36.3,3
74.4,1,13.9,129.0,3764.6491200000005,56.2,1
81.0,2,17.1,68.0,41176.88158,62.3,3
62.4,37,11.4,249.0,1361.11395,28.6,52
81.0,0,17.2,72.0,187.78991000000002,66.5,0
73.6,0,15.8,142.0,9212.192824,48.4,0
71.9,10,10.7,186.0,3923.573344,5.6,12
59.0,26,8.8,284.0,554.48766,23.3,40
58.9,4,9.2,275.0,596.8717188999999,26.3,6
66.2,0,10.3,215.0,4136.6899189999995,46.7,1
63.5,14,9.1,24.0,814.5463952,49.9,18
74.6,3,11.2,147.0,2326.1585600000003,51.0,4
75.8,0,15.6,134.0,12365.6263,64.8,0
82.7,0,19.0,49.0,5734.4436,61.0,0
68.3,910,11.6,181.0,1613.1887800000002,18.7,1100
69.1,114,12.9,176.0,3336.1668600000003,27.4,136
68.9,32,10.1,182.0,4974.2693,59.1,38
81.4,0,18.6,64.0,6664.144,62.8,0
82.5,0,16.0,58.0,35729.37253,64.9,1
82.7,1,16.3,56.0,349.14755,63.6,2
76.2,1,12.8,125.0,4965.9898570000005,54.2,1
83.7,2,15.3,55.0,34474.13736,29.0,3
74.1,4,13.1,112.0,496.99275,65.6,4
72.0,4,15.0,198.0,159.9817,53.1,5
63.4,54,11.1,249.0,1349.97144,22.0,75
66.3,0,11.9,198.0,1424.4836109999999,77.6,0
74.7,0,13.3,81.0,28975.417999999998,71.4,1
74.6,0,16.0,153.0,13666.583359999999,61.2,0
74.9,1,13.3,98.0,846.632851,66.1,1
53.7,4,10.7,484.0,173.82893,32.6,6
61.4,8,9.9,259.0,452.38717,27.3,11
73.6,0,16.5,165.0,14252.428530000001,62.4,0
82.0,0,13.9,63.0,1199.8223,61.3,0
65.5,28,10.3,22.0,41.8575951,2.5,38
58.3,26,10.8,365.0,362.65754439999995,19.6,38
75.0,4,13.1,123.0,9643.644683,4.6,4
78.5,0,12.7,61.0,8395.785198,27.4,0
58.2,52,8.4,266.0,729.725338,23.8,84
81.7,0,14.6,54.0,23819.4636,69.6,0
63.1,8,8.5,25.0,1158.256469,3.8,12
74.6,0,15.2,146.0,9252.117240000001,33.3,0
76.7,30,13.3,122.0,9143.128494,63.5,35
68.8,1,14.8,222.0,3944.1839,52.7,1
76.1,0,15.1,16.0,6461.192554,61.8,0
74.3,17,12.1,95.0,2847.285569,58.5,20
57.6,60,9.1,355.0,528.3125597,22.6,81
66.6,39,9.1,199.0,1194.5913699999999,23.8,50
65.8,2,11.7,248.0,4737.66996,35.7,3
69.2,17,12.2,165.0,743.7653489,19.1,21
81.9,1,18.1,57.0,44292.88473,62.1,1
81.6,0,19.2,66.0,3821.8937,67.5,0
74.8,2,11.7,145.0,295.96648799999997,54.0,2
61.8,49,5.4,22.0,358.99731,19.3,87
54.5,483,10.0,344.0,2655.157977,25.4,747
81.8,0,17.7,59.0,7455.246540000001,61.2,0
76.6,1,13.7,99.0,16627.36433,54.6,1
66.4,352,8.1,161.0,1431.2448650000001,25.4,433
77.8,1,13.0,118.0,13134.4367,57.8,1
74.0,2,12.3,146.0,419.367724,5.2,3
75.5,8,13.4,123.0,63.343258999999996,55.6,10
68.5,52,11.7,211.0,2878.33837,25.4,66
77.5,2,16.4,117.0,12565.9876,61.7,2
81.1,0,16.6,76.0,1922.681,61.6,0
78.2,0,13.4,68.0,66346.52267,69.3,0
75.0,2,14.7,133.0,8958.788593000001,6.7,2
75.0,13,15.0,222.0,9329.298351000001,6.5,15
66.1,11,10.8,227.0,71.34839699999999,21.4,15
74.0,0,12.9,125.0,4149.363444,74.7,0
67.5,0,11.2,19.0,1624.6396300000001,3.9,0
74.5,7,16.1,88.0,2732.86172,68.2,8
66.7,19,9.5,188.0,98.7256145,24.3,26
75.6,1,14.4,121.0,5237.255334,6.0,1
73.2,0,14.1,168.0,1539.464,37.4,0
51.0,22,9.5,413.0,587.538233,24.4,30
83.1,0,15.4,55.0,53629.737460000004,33.2,0
88.0,0,17.3,74.0,2729.8638300000002,6.1,0
69.2,0,9.6,177.0,1922.41388,5.5,0
62.9,42,13.0,328.0,5769.77258,51.1,52
82.8,1,17.7,56.0,25683.84565,66.6,1
74.9,3,14.0,138.0,3844.8912299999997,23.4,3
71.6,0,12.7,176.0,8818.982565999999,58.3,0
58.9,2,11.4,373.0,3136.92511,32.3,3
82.4,0,15.9,53.0,5585.258470000001,59.5,0
83.4,0,16.0,49.0,8989.8424,57.4,0
69.7,10,11.3,161.0,918.6771543,4.7,11
74.9,8,13.6,148.0,5814.863134,33.6,9
68.3,2,12.5,152.0,1161.76935,17.4,2
59.9,13,12.0,287.0,551.138346,24.3,20
73.5,0,14.3,133.0,493.775387,75.2,0
71.2,0,12.7,17.0,17321.833730000002,47.1,0
75.3,3,14.6,1.0,3828.9158899999998,61.2,3
75.8,15,14.5,16.0,1979.52569,66.1,18
66.3,6,10.8,215.0,6432.668768,48.6,7
62.3,66,10.0,291.0,693.8963828999999,18.5,93
71.3,4,15.3,195.0,2124.662666,61.3,5
77.1,1,13.3,75.0,3911.74689,64.2,1
77.0,0,15.5,116.0,15524.84247,64.0,0
69.4,15,12.1,184.0,2137.576852,44.7,17
72.0,0,10.8,13.0,285.83414,53.3,0
61.8,27,12.5,33.0,1313.889646,23.4,40
67.0,22,10.3,336.0,118.69383,31.8,32
